St. Kitts and Nevis,KNA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,421027105.925925
"Korea, Rep.",KOR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,593064800000
Kuwait,KWT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,33443405535.7801
Latin America & Caribbean (excluding high income),LAC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Lao PDR,LAO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,8663033761.79329
Lebanon,LBN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Liberia,LBR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1511878756
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
St. Lucia,LCA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,807594989.629629
Latin America & Caribbean,LCN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Least developed countries: UN classification,LDC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Low income,LIC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Liechtenstein,LIE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Sri Lanka,LKA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,18841414435.6061
Lower middle income,LMC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Low & middle income,LMY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Lesotho,LSO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1667729169.79321
Late-demographic dividend,LTE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Lithuania,LTU,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,43805069578.0566
Luxembourg,LUX,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,29365817023.5891
Latvia,LVA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,23370125842.0278
"Macao SAR, China",MAC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,17773322583.9016
St. Martin (French part),MAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Morocco,MAR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,66483524821.2227
Monaco,MCO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Moldova,MDA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,8633440000
Madagascar,MDG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,4163765326.28654
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,3459112657.21985
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Mexico,MEX,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,636916176423
Marshall Islands,MHL,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,172936180.487338
Middle income,MIC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
North Macedonia,MKD,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,10634426651.0347
Mali,MLI,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,5489636042.57405
Malta,MLT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,7557486140.42457
Myanmar,MMR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Montenegro,MNE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,4285902945.27211
Mongolia,MNG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,11668418782.7565
Northern Mariana Islands,MNP,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
